time,x_bias=-4.471635,y_bias=-9.585345000000002,z_bias=-0.47704125000000003
1616000006.909976,-4.455202173086502,-9.548063085933936,-0.5104786312659558
1616000007.2789898,-4.45224137344857,-9.542466636359766,-0.5113430300704545
1616000007.4550316,-4.449293916396075,-9.539546217958108,-0.5131388434358437
1616000007.8949292,-4.447016498326309,-9.546700992565567,-0.5102708398035488
1616000008.2216496,-4.447335637836983,-9.549204200965475,-0.5076424425831284
1616000008.4486635,-4.455345949252854,-9.55235974809864,-0.5094342525876949
1616000008.5647905,-4.4571948129640955,-9.550359909970362,-0.5084974896015878
1616000009.0031238,-4.458305475868972,-9.550959930333269,-0.5098752896144872
1616000009.174993,-4.459942707249327,-9.542538545374535,-0.5129219102718832
1616000010.0228472,-4.455290994310094,-9.557348666742774,-0.5065144781741535
1616000010.0752227,-4.453963084366992,-9.558987680075345,-0.506174333392412
1616000011.0851338,-4.459997229506241,-9.550817495560146,-0.5093157372680331
1616000012.073305,-4.4609874813269474,-9.55060922691995,-0.5080404001811207
1616000012.1309345,-4.462227606513678,-9.54881563465075,-0.5087349961793095
1616000012.18878,-4.464169402144056,-9.548427703521199,-0.5084426697553412
1616000012.299382,-4.4645127204809745,-9.546919089798916,-0.5071222177709379
1616000012.3575578,-4.464698063169969,-9.550221137162797,-0.5047962345309233
1616000012.4674718,-4.462651717245758,-9.549547232917925,-0.5016774340691204
1616000012.8376563,-4.455153043048611,-9.538173941726345,-0.4994198182737995
1616000013.2612858,-4.455718127328994,-9.546853099356193,-0.4959308265374563
1616000013.3193738,-4.454534281979195,-9.544757052952216,-0.4967049513084673
1616000013.8093297,-4.453496518089929,-9.549115390572759,-0.496905987761658
1616000013.9843714,-4.450701562379939,-9.54949324430036,-0.49798305860520103
1616000014.5573258,-4.453803133855806,-9.5517740776146,-0.5000355544864703
1616000014.6669338,-4.456421826492075,-9.547641773470069,-0.49817947195218953
1616000014.7803292,-4.459647476823434,-9.550433992656234,-0.49792517595573754
1616000014.8311307,-4.463005617034648,-9.548610356202376,-0.49776658995421835
1616000014.9889047,-4.463422858453103,-9.549107470012808,-0.4976312807159881
1616000015.3624682,-4.459098917425736,-9.548173788827743,-0.5002995680961899
1616000015.8420656,-4.462115592622917,-9.549235619479836,-0.5001126928672606
1616000016.2865682,-4.457558468172911,-9.552898712812361,-0.5000032545133345
1616000016.571671,-4.462929089332677,-9.559145820778495,-0.4955768823667079
1616000016.9252014,-4.462407892600594,-9.563302955227645,-0.49687974251761996
1616000017.4304433,-4.46192415640171,-9.56220881320351,-0.4950201358862538
1616000017.5321996,-4.4648003656893165,-9.56318798282076,-0.4943129851821174
1616000017.803437,-4.462405213412099,-9.562073041962627,-0.49526840677699324
1616000018.0201275,-4.4642237936685465,-9.565262331793296,-0.4957383423273098
1616000018.1848323,-4.465694055731861,-9.564984708475363,-0.4960309589040367
1616000018.2440822,-4.468851369022796,-9.567930762776703,-0.4968541928218464
1616000018.3561075,-4.468373226779243,-9.566701315597447,-0.4975857943846917
1616000018.4678676,-4.469204849566337,-9.565760584417058,-0.4974392120764363
1616000018.7519767,-4.468498253312523,-9.565262866375935,-0.4987006431811601
1616000018.919977,-4.470586305440888,-9.562181665231705,-0.4993976291280365
1616000019.210338,-4.468933936582988,-9.561979658842658,-0.5006656588953047
1616000019.7663565,-4.467268288685564,-9.56038064579501,-0.5021904079904531
1616000019.8239026,-4.466258105798708,-9.56050183933706,-0.5019810039105486
1616000019.8819635,-4.467183024740721,-9.56079682094369,-0.5018611938714431
1616000020.3562965,-4.474038932618562,-9.55270331255233,-0.49897955258464954
1616000020.8305135,-4.4739839235308585,-9.560558501466213,-0.49804160339333287
1616000020.8875046,-4.472892643452594,-9.559660387287035,-0.49631357548580557
1616000021.0492818,-4.473903018746414,-9.552558484232982,-0.4959842430954987
1616000022.2043118,-4.477505003335167,-9.539330913538747,-0.49597512773807134
1616000022.629222,-4.480064509186759,-9.536902430784055,-0.4952891350732466
1616000022.8454304,-4.4809846015674095,-9.537125503382965,-0.49308997498521173
1616000023.423702,-4.47771413286791,-9.534200923615533,-0.493064364958115
1616000024.011882,-4.480850439627808,-9.526981724718553,-0.4934417288528472
1616000024.1747825,-4.4808478257204225,-9.526145366762687,-0.4939258348141888
1616000024.5445318,-4.482515353252058,-9.533017055444159,-0.49574882456753705
1616000025.0814338,-4.483241691612411,-9.528657957735184,-0.49431950043693684
1616000025.1326628,-4.483734274696287,-9.527783878157832,-0.49462630543256747
1616000025.917842,-4.481257056751948,-9.540352766052807,-0.4971820446094708
1616000026.3474407,-4.486384595724637,-9.540417948460037,-0.4990985524299197
1616000026.563633,-4.492705018459118,-9.538819587093183,-0.49960546763766983
1616000026.7269511,-4.491708221288805,-9.54213896509656,-0.5013848381619298
1616000027.0004487,-4.492952776306182,-9.544366684146178,-0.5042471566347825
1616000027.2828853,-4.493609466599009,-9.540535445495449,-0.5029624101597949
1616000027.394574,-4.4945233719330195,-9.544617591040494,-0.5023077860581969
1616000027.8366923,-4.500708475522047,-9.546060713172729,-0.4989270015349319
1616000028.0061147,-4.499976390766826,-9.550000106041,-0.4978752315195826
1616000028.064522,-4.499426626859158,-9.55285010498059,-0.49735897920438676
1616000028.2343297,-4.499212023711166,-9.550034389372435,-0.4964633492614069
1616000028.4463618,-4.498832329439314,-9.548300955023924,-0.49920822861110487
1616000028.5577257,-4.499694006144921,-9.549505445473685,-0.5010411463249939
1616000028.6700888,-4.4983422204226375,-9.54980378710876,-0.5022205525131265
1616000029.152385,-4.500103114852526,-9.554143332754565,-0.5025177032591047
1616000029.3175967,-4.496097036103408,-9.557748984724638,-0.5011599640300599
1616000029.586533,-4.4944893830341,-9.554034048379332,-0.4999561356884031
1616000029.6442473,-4.493119489203759,-9.55281870789554,-0.500119074331519
1616000029.8620899,-4.488547508098376,-9.55395285999051,-0.5028840377989277
1616000029.975979,-4.486712033017392,-9.555275831390604,-0.5017051974209383
1616000030.143768,-4.485831464460494,-9.560316285558248,-0.5044103092763157
1616000030.2567525,-4.486385649815889,-9.560525622702665,-0.5036537061835525
1616000031.3366172,-4.490965357978105,-9.553944507099215,-0.5076680006506531
1616000031.3951578,-4.488580704398324,-9.552467562028223,-0.5073163206441466
1616000032.0260358,-4.497437783829196,-9.548690262099297,-0.5105899724366052
1616000032.081838,-4.496040771930995,-9.548883200883521,-0.5109598569851167
1616000032.5064263,-4.498639052813551,-9.547478910240384,-0.510265672920725
1616000032.7266617,-4.500711536325376,-9.555916551273562,-0.5077241854476134
1616000032.8322928,-4.5007333767525015,-9.561637436903217,-0.5082394741572059
1616000032.9966571,-4.499292283479575,-9.562060760889755,-0.5071640460352628
1616000033.106063,-4.502338414617949,-9.563147825480568,-0.5072597567039694
1616000033.5827045,-4.494146615254203,-9.555699067212485,-0.505172669929998
1616000033.845556,-4.492194722610644,-9.550814030774957,-0.504333483798391
1616000034.558257,-4.493618508172007,-9.551931298272983,-0.5074104703917404
1616000034.609129,-4.4904844998593845,-9.55069474043735,-0.5075006270309447
1616000034.9267685,-4.490836758474077,-9.543593840306682,-0.5086308531350644
1616000034.984353,-4.487921387160639,-9.544726230905733,-0.5087661844160998
1616000035.2497134,-4.486216962790581,-9.5446103396216,-0.5114849587227572
1616000035.359381,-4.486456652778738,-9.549077054174498,-0.5118768052137327
1616000035.469302,-4.485725841759711,-9.550953906510076,-0.5097455159623588
1616000035.7413795,-4.484282504532417,-9.54312226839181,-0.5129952898648634
1616000036.5442426,-4.484547258314712,-9.549216093306072,-0.5125706833776336
1616000036.6038952,-4.484203017874249,-9.55139881804928,-0.5125590267784187
